training;category;sub category;chapter;sub-chapter;item;type;order;duration;tags;link;description;additional_references;level of expertise;authors;number of views;number of like;uid;copyOf;labelPath1;Next1;Prev1;labelPath2;Next2;Prev2;labelPath3;Next3;Prev3
Awareness Path;Secure Coding;;Security Standard;;Video;video;24;01:29;Secure Coding Strategy Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/05-SecureCoding-SAPSecurityStd-Intro.mp4;This lecture describes the security standards;https://wiki.wdf.sap.corp/wiki/display/PSSEC/Home;beginner;Product Security Training;;;uid24;;Awareness Path;uid25;uid23;;;;;;
Awareness Path;Secure Coding;;Security Standard;;Quizz;quizz;25;;Secure Coding Security Standard Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_7F8A7019A2C81296;This is a quiz on the security standards;;beginner;Product Security Training;;;uid25;;Awareness Path;uid26;uid24;;;;;;
Awareness Path;Secure Coding;;Industry Standard;;Video;video;26;01:03;Secure Coding Industry Standard Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/06-SecureCoding-IndustryStd.mp4;This lecture is about the security standards for industries;;beginner;Product Security Training;;;uid26;;Awareness Path;uid27;uid25;;;;;;
Awareness Path;Secure Coding;;Corporate Requirements;;Video;video;27;01:04;Secure Coding Strategy Corporate Requirements Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/07-SecureCoding-SAPSecurityStd-CorporateReq.mp4;This lecture describes the Corporate Requirements ;;beginner;Product Security Training;;;uid27;;Awareness Path;uid28;uid26;;;;;;
Awareness Path;Secure Coding;;CWE Top 25;;Video;video;28;00:18;Secure Coding CWE Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/03-SecureCoding/08-SecureCoding-CWETop25.mp4;This lecture describes the Common Weakness Enumeration (CWE) Top 25;https://cwe.mitre.org/top25/;beginner;Product Security Training;;;uid28;;Awareness Path;uid29;uid27;;;;;;
Awareness Path;IAM;;Introduction;;Video;video;29;08:54;IAM Identity Access Management overview Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/04-IAM/01-IAM-Introduction/IAM-Introduction.mp4;This lecture presents an introduction to the Identity & Access Management (IAM) concept;;beginner;Product Security Training;;;uid29;;Awareness Path;uid30;uid28;;;;;;
Awareness Path;IAM;;Introduction;;Quizz 1;quizz;30;;IAM Introduction Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_5DCA5F5D879935B8;This is the 1st Quiz for IAM Introduction;;beginner;Product Security Training;;;uid30;;Awareness Path;uid31;uid29;;;;;;
Awareness Path;IAM;;Introduction;;Quizz 2;quizz;31;;IAM Introduction Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_137ED02F7E22FB2;This is the 2nd Quiz for IAM Introduction;;beginner;Product Security Training;;;uid31;;Awareness Path;uid32;uid30;;;;;;
Awareness Path;IAM;;Introduction;;Quizz 3;quizz;32;;IAM Introduction Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_A1072CDB5148B599;This is the 3rd Quiz for IAM Introduction;;beginner;Product Security Training;;;uid32;;Awareness Path;uid33;uid31;;;;;;
Awareness Path;IAM;;Introduction;;Quizz 4;quizz;33;;IAM Introduction Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_2724F829865B108D;This is the 4th Quiz for IAM Introduction;;beginner;Product Security Training;;;uid33;;Awareness Path;uid34;uid32;;;;;;
Awareness Path;IAM;;Identification;;Video;video;34;10:10;IAM Identity Access Management Identification Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/04-IAM/02-IAM-Identification/IAM-Identification.mp4;This lecture describes the Identification part of the IAM module;;beginner;Product Security Training;;;uid34;;Awareness Path;uid35;uid33;;;;;;
Awareness Path;IAM;;Identification;;Quizz 1;quizz;35;;IAM Identification Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_4F5C9FFE17CB18AA;This is the 1st Quiz for IAM Identification;;beginner;Product Security Training;;;uid35;;Awareness Path;uid36;uid34;;;;;;
Awareness Path;IAM;;Identification;;Quizz 2;quizz;36;;IAM Identification Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_649B2951344F729E;This is the 2nd Quiz for IAM Identification;;beginner;Product Security Training;;;uid36;;Awareness Path;uid37;uid35;;;;;;
Awareness Path;IAM;;Identification;;Quizz 3;quizz;37;;IAM Identification Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_BFD0D248356940BD;This is the 3rd Quiz for IAM Identification;;beginner;Product Security Training;;;uid37;;Awareness Path;uid38;uid36;;;;;;
Awareness Path;IAM;;Identification;;Quizz 4;quizz;38;;IAM Identification Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_B2CFA0E9A3E0DDA4;This is the 4th Quiz for IAM Identification;;beginner;Product Security Training;;;uid38;;Awareness Path;uid39;uid37;;;;;;
Awareness Path;IAM;;Authentication;;Video;video;39;10:52;IAM Identity Access Management Authentication Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/04-IAM/03-IAM-Authentication/IAM-Authentication.mp4;This is the Authentication part of the IAM module;;beginner;Product Security Training;;;uid39;;Awareness Path;uid40;uid38;;;;;;
Awareness Path;IAM;;Authentication;;Quizz 1;quizz;40;;IAM Authentication Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_23C54430A14850AB;This is the 1st Quiz for IAM Authentication;;beginner;Product Security Training;;;uid40;;Awareness Path;uid41;uid39;;;;;;
Awareness Path;IAM;;Authentication;;Quizz 2;quizz;41;;IAM Authentication Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_C90DE1BC4DFB99AD;This is the 2nd Quiz for IAM Authentication;;beginner;Product Security Training;;;uid41;;Awareness Path;uid42;uid40;;;;;;
Awareness Path;IAM;;Authentication;;Quizz 3;quizz;42;;IAM Authentication Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_4525AF63C12E4682;This is the 3rd Quiz for IAM Authentication;;beginner;Product Security Training;;;uid42;;Awareness Path;uid43;uid41;;;;;;
Awareness Path;IAM;;Authentication;;Quizz 4;quizz;43;;IAM Authentication Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_60BE05DD2F0C57B2;This is the4th Quiz for IAM Authentication;;beginner;Product Security Training;;;uid43;;Awareness Path;uid44;uid42;;;;;;
Awareness Path;IAM;;Authorization;;Video;video;44;13:03;IAM Identity Access Management Authorization Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/04-IAM/04-IAM-Authorization/IAM-Authorization.mp4;This lecture is the Authorization part of the IAM module;;beginner;Product Security Training;;;uid44;;Awareness Path;uid45;uid43;;;;;;
Awareness Path;IAM;;Authorization;;Quizz 1;quizz;45;;IAM Authorization Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_8EE07BFE3E9E84A4;This is the 1st Quiz for IAM Authorization;;beginner;Product Security Training;;;uid45;;Awareness Path;uid46;uid44;;;;;;
Awareness Path;IAM;;Authorization;;Quizz 2;quizz;46;;IAM Authorization Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_5A2448781FD60CAE;This is the 2nd Quiz for IAM Authorization;;beginner;Product Security Training;;;uid46;;Awareness Path;uid47;uid45;;;;;;
Awareness Path;IAM;;Authorization;;Quizz 3;quizz;47;;IAM Authorization Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_1BBEBAB907A5EA8E;This is the3rd Quiz for IAM Authorization;;beginner;Product Security Training;;;uid47;;Awareness Path;uid48;uid46;;;;;;
Awareness Path;IAM;;Authorization;;Quizz 4;quizz;48;;IAM Authorization Quiz Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_A3FBEFB3A1EEBFB5;This is the 4th Quiz for IAM Authorization;;beginner;Product Security Training;;;uid48;;Awareness Path;uid49;uid47;;;;;;
Awareness Path;IAM;;Logging;;Video;video;49;10:06;IAM Identity Access Management Audit Logging Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/04-IAM/05-IAM-Logging/IAM-Logging.mp4;This lecture is about the Auditing&Logging part of the IAM module;;beginner;Product Security Training;;;uid49;;Awareness Path;uid50;uid48;;;;;;
Awareness Path;IAM;;Logging;;Quizz 1;quizz;50;;Quiz IAM Identity Access Management Audit Logging Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_C4E59488FC5A3EB7;This is the 1st Quizz for IAM Auditing&Logging;;beginner;Product Security Training;;;uid50;;Awareness Path;uid51;uid49;;;;;;
Awareness Path;IAM;;Logging;;Quizz 2;quizz;51;;Quiz IAM Identity Access Management Audit Logging Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_BE67AB196398FA8E;This is the 2nd Quizz for IAM Auditing&Logging;;beginner;Product Security Training;;;uid51;;Awareness Path;uid52;uid50;;;;;;
Awareness Path;IAM;;Logging;;Quizz 3;quizz;52;;Quiz IAM Identity Access Management Audit Logging Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_F603D9B0E92B3DAE;This is the 3rd Quizz for IAM Auditing&Logging;;beginner;Product Security Training;;;uid52;;Awareness Path;uid53;uid51;;;;;;
Awareness Path;IAM;;Logging;;Quizz 4;quizz;53;;Quiz IAM Identity Access Management Audit Logging Awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_CFAEB7BF13613096;This is the 4th Quizz for IAM Auditing&Logging;;beginner;Product Security Training;;;uid53;;Awareness Path;uid54;uid52;;;;;;
Awareness Path;Product Security Response;;;;Video;video;54;11:53;Product security Response overview awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/05-ProductSecurityResponse/ProductSecurityResponse.mp4;This lecture is about Product Security Response;Portal: /go/securityResponse;beginner;Product Security Training;;;uid54;;Awareness Path;uid55;uid53;;;;;;
Awareness Path;Security Testing & Validation;;Security Validation;;Video;video;55;00:53;Testing Validation overview awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/06-SecurityTestingValidation/SecurityValidation.mp4;This lecture is about Security testing and validation;;beginner;Product Security Training;;;uid55;;Awareness Path;uid56;uid54;;;;;;
Awareness Path;Security Testing & Validation;;Code Scan;;Video;video;56;02:21;Testing Code Scan overview awareness;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Awareness-Path/06-SecurityTestingValidation/SecurityCodeScan.mp4;This lecture is about Code Scanning;;beginner;Product Security Training;;;uid56;;Awareness Path;;uid55;;;;;;
Expert Path;Advanced Motivation;;under Attack;;Video;video;57;12:51;Expert;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/01-Motivation/SAPUnderAttack.mp4;This video describes…;;expert;Product Security Training;;;uid57;;;;;Expert Path;uid58;;;;
Expert Path;Advanced Architecture;Threat Modeling;Overview;;Video;video;58;00:33;Expert Architecture Threat Modeling Overview;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/01-ThreatModeling-Overview.mp4;This lecture provides an overview of threat modeling;;expert;Johnson;;;uid58;;;;;Expert Path;uid59;uid57;;;
Expert Path;Advanced Architecture;Threat Modeling;What2Improve;;Video;video;59;01:33;Expert Architecture Threat Modeling;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/02-ThreatModeling-What2Improve.mp4;This lecture describes what needs to be improved in term of security for software development;;expert;Johnson;;;uid59;;;;;Expert Path;uid60;uid58;;;
Expert Path;Advanced Architecture;Threat Modeling;Objectives;;Video;video;60;00:35;Expert Architecture Threat Modeling objectives;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/03-ThreatModeling-Objectives.mp4;This lecture describes the objectives of threat modeling;;expert;Johnson;;;uid60;;;;;Expert Path;uid61;uid59;;;
Expert Path;Advanced Architecture;Threat Modeling;Environment 1;;Video;video;61;01:08;Expert Architecture Threat Modeling environment;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/04-ThreatModeling-Environment-1.mp4;This lecture describes the environment of an product;;expert;Johnson;;;uid61;;;;;Expert Path;uid62;uid60;;;
Expert Path;Advanced Architecture;Threat Modeling;Environment 2;;Video;video;62;00:44;Expert Architecture Threat Modeling environment;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/05-ThreatModeling-Environment-2.mp4;This lecture describes the environment of an product;;expert;Johnson;;;uid62;;;;;Expert Path;uid63;uid61;;;
Expert Path;Advanced Architecture;Threat Modeling;Synthesis;;Video;video;63;00:34;Expert Architecture Threat Modeling synthesis;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/06-ThreatModeling-Synthesis.mp4;This lecture provides a synthesis on threat modeling;;expert;Johnson;;;uid63;;;;;Expert Path;uid64;uid62;;;
Expert Path;Advanced Architecture;Threat Modeling;Methodology;;Video;video;64;01:35;Expert Architecture Threat Modeling methodology;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/07-ThreatModeling-Methodologies.mp4;This lecture describes the thread modeling methodology;;expert;Johnson;;;uid64;;;;;Expert Path;uid65;uid63;;;
Expert Path;Advanced Architecture;Threat Modeling;Objectives;;Video;video;65;01:45;Expert Architecture Threat Modeling Strategy;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/02-ThreatModeling/08-ThreatModeling-SAPObjectives.mp4;This lecture describes the objectives wrt. threat modeling;https://wiki.wdf.sap.corp/wiki/display/PSSEC/SAP+Threat+Modeling+Methodology;expert;Johnson;;;uid65;;;;;Expert Path;uid66;uid64;;;
Expert Path;Advanced Architecture;Threat Modeling;Quizzes;;Quizz 1;quizz;66;;Threat Modeling Expert Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_81960A14369E06BA;This is the 1st quiz on threat modeling;;expert;Johnson;;;uid66;;;;;Expert Path;uid67;uid65;;;
Expert Path;Advanced Architecture;Threat Modeling;Quizzes;;Quizz 2;quizz;67;;Threat Modeling Expert Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_C6078EE731BAE189;This is the 2nd quiz on threat modeling;;expert;Johnson;;;uid67;;;;;Expert Path;uid68;uid66;;;
Expert Path;Advanced Architecture;Threat Modeling;Quizzes;;Quizz 3;quizz;68;;Threat Modeling Expert Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_A781445E9FC847A5;This is the 3rd quiz on threat modeling;;expert;Johnson;;;uid68;;;;;Expert Path;uid69;uid67;;;
Expert Path;Advanced Secure Coding;Path Traversal;Example;;Video;video;69;01:16;Expert Path Traversal example;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-1-Path-Traversal/Path-Traversal-Example.mp4;This lecture provided a example of  the path traversal attack;;expert;Product Security Training;;;uid69;;;;;Expert Path;uid70;uid68;;;
Expert Path;Advanced Secure Coding;Path Traversal;Information;;Video;video;70;01:01;Expert Path Traversal overview;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-1-Path-Traversal/Path-Traversal-Information.mp4;This lecture describes  the path traversal attack;;expert;Product Security Training;;;uid70;;;;;Expert Path;uid71;uid69;;;
Expert Path;Advanced Secure Coding;Path Traversal;Countermeasure;;Video;video;71;01:10;Expert Path Traversal  countermeasure;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-1-Path-Traversal/Path-Traversal-Countermeasures.mp4;This lecture describes the countermeasures against  the path traversal attack;;expert;Product Security Training;;;uid71;;;;;Expert Path;uid72;uid70;;;
Expert Path;Advanced Secure Coding;Path Traversal;;;Quizz;quizz;72;;Secure Coding Path Traversal Expert Quiz;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/trainer/9_2_2_247/trainer.html#library=library.txt&show=slide!SL_D1DE356360C88891;This is a quiz on the path traversal attack;;expert;Product Security Training;;;uid72;;;;;Expert Path;uid73;uid71;;;
Expert Path;Advanced Secure Coding;SQL Injection;Example 1;;Video;video;73;02:13;Expert SQL injection example;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-2-SQL-Injection/SQL-Injection-Example-1.mp4;This lecture provides an example of the SQL injection attack;;expert;Product Security Training;;;uid73;;;;;Expert Path;uid74;uid72;;;
Expert Path;Advanced Secure Coding;SQL Injection;Example 2;;Video;video;74;02:44;Expert SQL injection example ;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-2-SQL-Injection/SQL-Injection-Example-2.mp4;This lecture provides an example of the SQL injection attack;;expert;Product Security Training;;;uid74;;;;;Expert Path;uid75;uid73;;;
Expert Path;Advanced Secure Coding;SQL Injection;Information;;Video;video;75;00:51;Expert SQL injection overview;http://dewdfgwp00454.wdf.sap.corp:8080/KMap/Lectures/Expert-Path/03-AdvancedSecureCoding/3-2-SQL-Injection/SQL-Injection-Information.mp4;This lecture describes the SQL injection attack;;expert;Product Security Training;;;uid75;;;;;Expert Path;uid76;uid74;;;
