nom adhérent;icon;catégorie;adresse;latitude;longitude;téléphone;site web;activité;texte;mots clés;
COM THINGS;TV/pme/comthings.png;TPE-PME;"1 Boulevard Maitre Maurice Slama 
06200 NICE";43.683329 ;7.202429;04 92 10 38 81;www.comthings.com;"ComThings possède la technologie pour devenir le Airbnb du parking. ComThings, start-up spécialisée dans le contrôle d'accès en mode service (ACaaS) est à l'origine d'une technologie innovante: une télécommande universelle connectée à votre Smartphone, simplifiant ainsi le contrôle d'accès aux portes de garage/portails. Présente sur le marché du parking partagé, elle permet aux opérateurs d'accroître leur parc grâce aux places détenues par les particuliers. Trois éléments constituent les piliers de sa technologie : Le cloud, le smartphone et un accessoire Bluetooth Smart.

ComThings has the technology to be the Airbnb of the parking spots. The smart, secure way to open parking barriers. With ComThings you can easily create a smartphone app that lets customers open specified barriers at specified times. It's all enabled by our BeeCT controller. BeeCT talks to your smartphone app by bluetooth, and with the barrier by conventional radio frequencies. And with our APIs you can easily integrate your backend systems, your smartphone app and the BeeCT controller into a secure, real-time access management package.";ComThings possède la technologie pour devenir le Airbnb du parking. ComThings, start-up spécialisée dans le contrôle d'accès en mode service (ACaaS) est à l'origine d'une technologie innovante : une télécommande universelle connectée à votre Smartphone, simplifiant ainsi le contrôle d'accès aux portes de garage/portails. Présente sur le marché du parking partagé, elle permet aux opérateurs d'accroître leur parc grâce aux places détenues par les particuliers. Trois éléments constituent les piliers de sa technologie : Le cloud, le smartphone et un accessoire Bluetooth Smart.;Stationnement intelligent;
CROSSKNOWLEDGE;TV/pme/crossknowledge.jpg;TPE-PME;"1360 route des Dolines
Les Cardoulines B4 
06560 SOPHIA ANTIPOLIS";43.624692;7.044072;04 93 74 14 26;www.crossknowledge.com/fr;"Les solutions CrossKnowledge facilitent la montée en compétence rapide de l'ensemble des collaborateurs et la diffusion de la stratégie de l'entreprise.
 

Disponibles en mode SaaS et 100% cloud, nos solutions reposent sur des formats d'apprentissage exclusifs, des contenus qui font référence au plan mondial et une gamme innovante de services d'accompagnement.

 CrossKnowledge opère au niveau mondial et s'adresse à des entreprises de toutes tailles et tous secteurs, totalisant plus de 7 millions d'apprenants. Depuis le 1er mai 2014, CrossKnowledge fait partie du groupe Wiley.";Le Digital Learning au service des grandes entreprises et organisations;Applications, Digital learning, Formation, Logiciels;
CYNSIS;TV/pme/Cynsis.jpg;TPE-PME;"Business Pôle – 1047 Route des Dolines
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;;www.cynsis.com;"Ces dispositifs permettent : de sauver des vies en fournissant en temps réel des informations cruciales sur la géolocalisation et l'état des personnes victimes ou témoins à l'ensemble des acteurs impliqués dans la gestion d'une crise, de se mobiliser plus rapidement et de mieux agir collectivement en temps réel et avant cela de bien se préparer.
Pierre-Marie Sarant est le Président-fondateur de la société. Il est intervenu depuis plus de 30 ans dans plus de 50 pays à l'occasion de crises humanitaires et de catastrophes naturelles, dont 14 séismes. Son expérience l'a amené à un double constat : d'une part, le manque de partage de connaissances scientifiques et d'informations critiques ; d'autre part la sous-utilisation des technologies numériques.
C'est pourquoi il a privilégié les nouvelles technologies et s'est entouré d'une équipe d'experts pluridisciplinaire : géophysique, télécommunications et réseaux, nouvelles technologies, système d'informations géographiques, géographie, éducation aux risques, médecine d'urgence…";CynSIS conçoit des dispositifs fiables et innovants pour structurer et partager des données vitales en cas de catastrophe environnementale;Application, alerte;
DATA MOOVE;TV/pme/DataMoove.jpg;TPE-PME;"245, route des Lucioles 
06560 SOPHIA ANTIPOLIS";43.615195 ;7.047688;06 33 42 65 19;www.data-moove.fr;Notre produit PIC Systems est un portail numérique intégrant un système d'information centralisé et une plateforme d'agrégation, de gestion, et de diffusion de flux.;Data-Moove édite des solutions pour tous secteurs ayant un besoin en gestion de données massives, volumétriques et qualitatives;Portail numérique, PIC DATA;
DELIGEO;TV/pme/deligeo.png;TPE-PME;"152 avenue du Maréchal Lyautey 
83700 ST RAPHAËL";43.420202;6.77382;09 50 62 20 97;www.deligeo.fr;"Nous réalisons des missions de conseil pour les Autorités publiques, les Opérateurs et les Constructeurs :

Etude et modélisation des coûts de maintenance
Analyse de l'économie des systèmes de transport
Préparation et suivi de l'exploitation et de la maintenance

deligeo développe des outils de simulation dédiés au lien entre technologie et économie.";DELIGEO est une société d'ingénierie, spécialisée dans le transport public urbain et régional;Conseil, Etude, Logiciels;
DEV-HELP;TV/pme/Dev-Help.png;TPE-PME;"25 Boulevard Carnot 
06300 NICE";43.697564;7.289063;06 85 03 57 75;www.dev-help.fr;"Spécialisé dans les projets mettant en oeuvre les usages des TICs le cabinet porte un focus fort dans l'innovation au service du “m-tourisme” et est le représentant français du comité européen EUREKA Tourism.
Mais le meilleur des financements étant celui des clients, DEV-HELP accompagne également les entreprises  dans leur stratégie commerciale depuis l'élaboration de leur business modèle jusqu'au ciblage de client et l'accompagnement de leur forces de vente";"Le Cabinet DEV-HELP accompagne les entreprises innovantes dans leur développement économique et commercial. Nos recherches de partenariats financiers sont souvent associées à celles de partenariats technologiques dans le cadre de projets collaboratifs de type ""Pôles de compétitivité"" ou de projets européens et notamment les projets EUREKA et Eurost@rs";Solution numérique, e-tourisme;
DMR;TV/pme/dmr.png;TPE-PME;"18 Avenue de Lamartine 
13170 LES PENNES MIRABEAU";43.418234;5.279856;04 42 34 19 55;www.dmr-formation.fr;;Société de Conseil et Formation en informatique;Formation;
DRIVEMEIN;TV/pme/DriveMeIn.png;TPE-PME;;;;06 52 87 17 84;www.drivemein.fr;"Plateforme de co-voiturage pour vos déplacements professionnels.
DriveMeIn dans votre Entreprise
DriveMeIn est une plateforme de covoiturage inter-entreprises qui se compose d'un site internet responsive et d'une application mobile.
Notre société propose aux entreprises un produit innovant, avec le soutien des collectivités, pour promouvoir le covoiturage auprès de leurs salariés.

L'entreprise peut suivre l'évolution de son activité de covoiturage.

Au-delà de la plateforme, il s'agit d'un réel accompagnement de l'entreprise dans la mise place, la coordonnination et le suivie de son activité de Covoiturage.
Ainsi l'entreprise peu dans son espace DriveMeIn, avoir une vue sur son portefeuille de collaborateurs et sur leurs activités de covoiturage. Elle peut également intéragir avec ces derniers via différentes fonctionnalitées comme notamment la création d'évènement (congrés, conférences, excursion CE, repas de Noël etc.).

Les covoitureurs sont informés des trajets de chacuns et sont mis en relation de manière intelligente.

Les salariés ont accès à un site internet responsive et à une application mobile, leur offrant toutes les fonctionnalités permettant de faire du covoiturage et d'échanger confortablement avec les covoitureurs du réseau.
Toutes les transactions financières sont définies et gérées par DriveMeIn grâce à un service très innovant, ce qui décharge totalement les covoitureurs de cette partie un peu délicate";Plateforme de co-voiturage pour vos déplacements professionnels;co-voiturage;
EASY GLOBAL MARKET;TV/pme/Eglobalmark.png;TPE-PME;"Business Pôle – 1047 route des Dolines 
06901 SOPHIA ANTIPOLIS CEDEX";43.627082;7.0409;;www.eglobalmark.com;"Eglobalmark avec +28 ans d'expérience y compris en R&D (France Telecom R&D, programme de R&D EU, ..) en développement de programme de validation (autre mot qui désigné des formes de « certification ») et en organisation d'activités d'interopérabilité peut fournir un conseil dédié adapté à votre besoin vous permettant par exemple :
soit d'acquérir rapidement la connaissance nécessaire aux méthodes, outils et concepts à mettre en place pour des activités d'essais et validation de développer des suites de test et outils de manière peu couteuse, optimisée et efficace d'obtenir des gains de productivité dans vos besoins tant en temps qu'en argent d'accéder au marché mondial avec des services d'accompagnement adaptés";;Intéropérabilité;
ECY CONSEIL;;TPE-PME;"18 Chemin du Castellet
06650 LE ROURET";43.677934 ;7.006122;;www.ecy-conseil.com;;Conseil, service et assistance technique en systèmes d'information, ingénierie logicielle et solutions Open Source.;Conseil;
ELLIPSO FACTO;TV/pme/ellipso_facto.png;TPE-PME;"Business Pôle – 1047 route des Dolines
Allée Pierre Ziller 
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;06 74 90 60 79;www.ellipsofacto.com;Domaines : Interopérabilité, ETL (Extract Transform Load) spatial, Intégration de données spatiales, Interfaces entre systèmes informatiques;Prestation de services vers les Collectivités Locales, les Grands Comptes, ou la Défense, en direct ou via des intégrateurs, basés sur le logiciel FME édité par la société canadienne Safe Software;Architectures logicielles, intéropérabilité;
ESIOOX;TV/pme/esioox.jpg;TPE-PME;"Business Pôle – 1047 route des Dolines
Allée Pierre Ziller 
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;09 70 80 55 01;www.esioox.fr;"Lancée en 2011, Esioox.com est la première plateforme d'achat, d'échange et de revente de cartes cadeaux en France. Esioox.com , c'est une solution simple et sécurisée à la problématique grandissante de vos cartes cadeaux non désirées. En quelques clics, vous profitez pleinement de vos titres cadeaux. Pour chaque carte vendue au site, l'internaute reçoit un chèque, un virement bancaire ou un virement Paypal dans les 24 heuressuivant notre réception de votre carte ou chèque cadeau.
Esioox.com collabore avec plus de 180 enseignes nationales et met à disposition des cartes et chèques cadeaux à prix réduit (de 5% à 30% de remise par rapport à leur valeur réelle). Un achat discount malin ! Pour chaque carte achetée sur le site, la livraison se fait à domicile, dans les 48 heures garanti. Esioox.com a déjà convaincu la Presse";Esioox.com est aujourd'hui le leader du rachat et la revente de Carte Cadeaux en France;Cartes cadeaux;
EUCLYDE SAS;TV/pme/EUCLYDE.png;TPE-PME;"49, rue Emile Hugues 
06600 ANTIBES";43.604752;7.075697;04 89 84 84 84;www.euclyde.com;;Développeur et exploitant de data centers neutres de haute disponibilité;Data centers, hébergements informatiques;
EVERTYGO;TV/pme/evertygo.png;TPE-PME;"4, Traverse Dupont 
06130 GRASSE";43.657245;6.931359;;www.evertygo.com;"Pour nos clients utilisateurs finaux ou professionnels, nous offrons des produits axés sur l'expérience utilisateur, et ayant pour but de rendre l'habitat et les objets qui le composent réellement intelligents afin qu'ils s'intègrent au quotidien du foyer.
Nos deux premiers produits sont :
ImperiHome, une application smartphone & tablette permettant de contrôler plusieurs systèmes domotique et objets connectés depuis une unique interface hautement configurable.
ImperiPro, une solution de contrôle complète pour les installateurs et intégrateurs domotique, leur permettant de déployer chez leurs clients une interface de contrôle en marque blanche, sécurisée, et gérée à distance";Evertygo fournit des solutions logicielles innovantes destinées au secteur de la maison intelligente et de l'internet des objets;Solution de contrôle, application, IoT, domotique;
EXALINKS;TV/pme/exalinks.jpg;TPE-PME;"Business Pôle – 1047 route des Dolines
Allée Pierre Ziller 
BP19 
06560 SOPHIA ANTIPOLIS";43.627082;7.0409;04 92 90 11 18;www.exalinks.com;;Exalinks, pour “Extreme Algorithms for high performance wireless Links”, est une start-up innovante qui développe des solutions d'optimisation du réseau Internet mobile 3G et 4G;Réseaux de télécommunications, technologies mobiles, Cloud.;
EXPERIS IT;TV/pme/ExperisIT.jpg;TPE-PME;"1240 Route des Dolines Bureaupolis I 
06560 VALBONNE SOPHIA ANTIPOLIS";43.625108;7.040826;04 89 87 40 00;www.experis-it.fr;"Il regroupe Elan IT (Europe), Comsys (Amérique du Nord) et les cabinets de recrutement IT du réseau Manpower Professional.
Experis IT est intégré à Experis, la marque de ManpowerGroup dédiée au recrutement et aux services professionnels, qui comprend par ailleurs quatre autres pôles : l'ingénierie, la finance, le commerce et la santé.
Experis IT intervient pour ses clients aussi bien en tant que Société de Services, en tant que Cabinet de Conseil en Recrutement mais propose également des solutions innovantes d'externalisation de tout ou partie de la fonction recrutement pour des acteurs européens majeurs.";Experis IT est le premier acteur mondial du recrutement et des services professionnels en informatique et télécoms, au carrefour des métiers de l'IT et du domaine des ressources humaines;Recrutement, expertise technologique, Ressources Humaines;
EZAKO;TV/pme/EZAKO.png;TPE-PME;"1047 Route des Dolines 
06560 VALBONNE";43.627082;7.0409;;www.ezako.com;"Ezako est une équipe experte en data science, qui utilise le Big Data pour résoudre des problèmes complexes de façon innovante.
Notre intelligence artificielle s'applique dans différents domaines à l'aide de produits que nous développons. Améliorer le e-commerce, l'expérience client télécom des devices à la maison, la détection de fraude bancaire.
Notre technologie consiste à amasser d'immenses volumes de données pour comprendre l'attente client et proposer des solutions innovantes.";Ezako édite un logiciel de suivi des indicateurs QoS et QoE spécialement développé pour les opérateurs Télécom;Big data, Data science, Logiciels;
FIDENS;TV/pme/Fidens.jpg;TPE-PME;"9, rue Richard Andrieu 
83000 TOULON";43.123 ;5.932334;04 94 22 95 62;www.fidens.fr;"Nos équipes réunissent des professionnels issus du monde industriel et de l'administration, experts des techniques, méthodes et standards de la cybersécurité. Adoptant une démarche globale adossée aux normes françaises et internationales, nos prestations vous accompagnent depuis l'audit et l'analyse de votre système d'information jusqu'à la spécification de votre politique, ou l'évolution de vos technologies sécuritaires.
Notre maîtrise de la réglementation, notre pratique de vos processus métiers facilitent la mise en place harmonieuse et progressive de solutions opérationnelles répondant à vos contraintes métier, techniques, économiques et organisationnelles.
La démarche collaborative instaurée sur tous nos projets garantit l'appropriation rapide des préconisations et des solutions par les acteurs. L'excellence de notre communication favorise l'adhésion des décideurs et les incite à s'impliquer plus avant dans le management de la sécurité et l'amélioration continue de vos processus.
Largement étayées sur nos retours d'expérience, les formations dispensées par nos experts présentent de manière pragmatique les normes du domaine, normes que FIDENS contribue à élaborer et faire évoluer de par sa participation à l'AFNOR, à l'ISO ou au Club EBIOS.
Gage supplémentaire de qualité, FIDENS est habilité à traiter des marchés à clause de sécurité et accompagne depuis plusieurs années ses clients grands comptes et de la Défense, les grandes administrations tout comme les collectivités locales.";Fidens est un cabinet de conseil et d'audit, spécialiste en cybersécurité;Sécurité;
